torneo,id_partido,fecha,fase,grupo,equipo,goles_favor,goles_contra
2022,M-2022-31,,Fase de grupos,G,Brazil,1.0,0.0
2022,M-2022-32,2022-11-28,Fase de grupos,H,Portugal,2.0,0.0
2022,M-2022-33,2022-11-29,Fase de grupos,G,Ecuador,1.0,2.0
2022,M-2022-34,2022-11-29,Fase de grupos,A,Netherlands,2.0,0.0
2022,M-2022-35,2022-11-29,Fase de grupos,G,Iran,0.0,1.0
2022,M-2022-36,2022-11-29,Fase de grupos,B,Wales,0.0,3.0
2022,M-2022-37,2022-11-30,Fase de grupos,G,Australia,,0.0
2022,M-2022-38,2022-11-30,Fase de grupos,D,Tunisia,1.0,0.0
2022,M-2022-39,2022-11-30,Fase de grupos,G,Poland,0.0,2.0
2022,M-2022-40,2022-11-30,Fase de grupos,C,Saudi Arabia,1.0,2.0
2022,M-2022-41,2022-12-01,Fase de grupos,G,Canada,1.0,2.0
2022,M-2022-42,2022-12-01,Fase de grupos,F,Croatia,0.0,0.0
2022,M-2022-43,2022-01-12,Fase de grupos,G,Costa Rica,2.0,4.0
2022,M-2022-44,2022-12-01,Fase de grupos,E,Japan,2.0,1.0
2022,M-2022-45,2022-12-02,Fase de grupos,G,Ghana,0.0,2.0
2022,M-2022-46,2022-12-02,Fase de grupos,H,South Korea,2.0,1.0
2022,M-2022-47,2022-12-02,Fase de grupos,G,Cameroon,1.0,0.0
2022,M-2022-48,2022-02-12,Fase de grupos,G,Serbia,2.0,3.0
2022,M-2022-03,2022-11-21,Fase de grupos,G,Senegal,0.0,2.0
2022,M-2022-03,2022-11-21,Fase de grupos,G,Senegal,0.0,2.0
2022,M-2022-42,2022-12-01,Fase de grupos,F,Croatia,0.0,0.0
2026,M-2026-001,2026-06-11,Fase de grupos,A,Mexico,,
2026,M-2026-002,2026-06-12,Fase de grupos,G,South Korea,2.0,1.0
2026,M-2026-007,2026-12-06,Fase de grupos,G,Canada,1.0,1.0
2026,M-2026-008,2026-06-13,Fase de grupos,B,Qatar,1.0,1.0
2026,M-2026-013,2026-06-13,Fase de grupos,C,Brazil,1.0,1.0
