torneo,equipo,partidos_jugados,goles_favor,goles_contra,diferencia_goles,goles_favor_por_partido,pct_goles_favor_sobre_totales
2026,Mexico,3,4.0,0.0,4.0,1.33,2.01
2026,Morocco,3,5.0,3.0,2.0,1.67,2.51
2026,Netherlands,3,8.0,4.0,4.0,2.67,4.02
2026,New Zealand,3,4.0,10.0,-6.0,1.33,2.01
2026,Norway,3,8.0,7.0,1.0,2.67,4.02
2026,Panama,3,0.0,2.0,-2.0,0.0,0.0
2026,Paraguay,3,3.0,8.0,-5.0,1.0,1.51
2026,Portugal,3,5.0,1.0,4.0,1.67,2.51
2026,Qatar,3,2.0,10.0,-8.0,0.67,1.01
2026,Saudi Arabia,3,1.0,5.0,-4.0,0.33,0.5
2026,Scotland,3,1.0,3.0,-2.0,0.33,0.5
2026,Senegal,3,8.0,6.0,2.0,2.67,4.02
2026,South Africa,3,2.0,1.0,1.0,0.67,1.01
2026,South Korea,3,2.0,3.0,-1.0,0.67,1.01
2026,Spain,3,5.0,0.0,5.0,1.67,2.51
2026,Sweden,3,7.0,7.0,0.0,2.33,3.52
2026,Switzerland,3,5.0,3.0,2.0,1.67,2.51
2026,Tunisia,3,2.0,12.0,-10.0,0.67,1.01
2026,Turkey,3,3.0,5.0,-2.0,1.0,1.51
2026,United States,3,10.0,5.0,5.0,3.33,5.03
2026,Uruguay,3,0.0,4.0,-4.0,0.0,0.0
2026,Uzbekistan,3,2.0,11.0,-9.0,0.67,1.01
